1,0.107359913,0.041172339,0.041172339,0.026217688,0.026217688,0.054521373,0.026217688,0.041172339,0.032258637,0.032258637,0.07496322,0.032258637,0.032258637,0.032258637,0.107359913,0.054521373,0.026217688,0.026217688,0.026217688,0.041172339,0.041172339,0.032258637,0.041172339,0.032258637,0.026217688,0.032258637,0.243677156,0.041172339,0.335039696,0.243677156,0.032258637,0.026217688,0.054521373,0.026217688,0.054521373,0.022082402,0.032258637,0.026217688,0.022082402,0.026217688,0.019232165,0.032258637,0.026217688,0.026217688,0.107359913,0.041172339,0.041172339,0.041172339,0.041172339,0.054521373,0.026217688,0.022082402,0.022082402,0.026217688,0.022082402,0.041172339,0.032258637,0.032258637,0.054521373,0.041172339,0.032258637,0.041172339,0.022082402,0.041172339,0.107359913,0.032258637,0.041172339,0.026217688,0.054521373,0.026217688,0.026217688,0.032258637,0.243677156,0.402631596,0.022082402,0.041172339,0.07496322,0.243677156,0.132409048,0.243677156,0.022082402,0.026217688,0.032258637,0.026217688,0.022082402,0.032258637,0.032258637,0.041172339,0.019232165,0.041172339,0.054521373,0.032258637,0.022082402,0.022082402,0.041172339,0.026217688,0.054521373,0.026217688,0.107359913,0.026217688,0.026217688,0.022082402,0.041172339,0.054521373,0.022082402,0.026217688,0.026217688,0.026217688,0.07496322,0.026217688,0.054521373,0.07496322,0.041172339,0.032258637,0.022082402,0.032258637,0.032258637,0.032258637,0.161604275,0.026217688,0.041172339,0.026217688,0.041172339,0.07496322,0.032258637,0.07496322,0.032258637,0.054521373,0.032258637,0.022082402,0.041172339,0.041172339,0.041172339,0.026217688,0.026217688,0.041172339,0.026217688,0.026217688,0.032258637,0.026217688,0.026217688,0.032258637,0.017258356,0.026217688,0.032258637,0.032258637,0.182053534,0.07496322,0.032258637,0.026217688,0.041172339,0.022082402,0.078342404,0.026217688,0.032258637,0.132409048,0.026217688,0.019232165,0.017258356,0.022082402,0.07496322,0.054521373,0.032258637,0.054521373,0.017258356,0.07496322,0.054521373,0.026217688,0.015887011,0.026217688,0.032258637,0.054521373,0.032258637,0.054521373,0.041172339,0.026217688,0.07496322
0.107359913,1,0.128249503,0.573196756,0.479833079,0.479833079,0.14710564,0.479833079,0.573196756,0.517415251,0.115768709,0.176370951,0.115768709,0.115768709,0.115768709,0.223744292,0.657472144,0.479833079,0.479833079,0.479833079,0.573196756,0.128249503,0.517415251,0.573196756,0.517415251,0.479833079,0.517415251,0.14710564,0.128249503,0.176370951,0.14710564,0.517415251,0.107359913,0.14710564,0.479833079,0.657472144,0.454209032,0.517415251,0.479833079,0.454209032,0.107359913,0.436595975,0.115768709,0.107359913,0.479833079,0.223744292,0.128249503,0.128249503,0.128249503,0.128249503,0.14710564,0.479833079,0.101626678,0.101626678,0.479833079,0.101626678,0.128249503,0.517415251,0.115768709,0.657472144,0.128249503,0.115768709,0.128249503,0.454209032,0.128249503,1,0.115768709,0.128249503,0.107359913,0.14710564,0.107359913,0.479833079,0.517415251,0.14710564,0.14710564,0.454209032,0.128249503,0.176370951,0.14710564,0.14710564,0.14710564,0.454209032,0.479833079,0.517415251,0.479833079,0.101626678,0.517415251,0.517415251,0.128249503,0.436595975,0.573196756,0.14710564,0.517415251,0.454209032,0.454209032,0.573196756,0.479833079,0.14710564,0.479833079,0.223744292,0.479833079,0.479833079,0.454209032,0.128249503,0.657472144,0.454209032,0.479833079,0.479833079,0.260731217,0.176370951,0.479833079,0.14710564,0.176370951,0.573196756,0.517415251,0.454209032,0.517415251,0.115768709,0.115768709,0.305912596,0.479833079,0.128249503,0.479833079,0.311463078,0.176370951,0.115768709,0.176370951,0.517415251,0.14710564,0.517415251,0.454209032,0.573196756,0.573196756,0.573196756,0.479833079,0.479833079,0.573196756,0.479833079,0.479833079,0.517415251,0.107359913,0.479833079,0.281152579,0.424421816,0.107359913,0.115768709,0.115768709,0.176370951,0.176370951,0.517415251,0.479833079,0.128249503,0.454209032,0.115768709,0.479833079,0.281152579,0.14710564,0.107359913,0.436595975,0.424421816,0.454209032,0.176370951,0.14710564,0.115768709,0.14710564,0.424421816,0.176370951,0.14710564,0.479833079,0.415974619,0.479833079,0.115768709,0.14710564,0.115768709,0.14710564,0.573196756,0.479833079,0.176370951
0.041172339,0.128249503,1,0.057143926,0.041172339,0.041172339,0.071429946,0.041172339,0.057143926,0.047619921,0.047619921,0.093360272,0.047619921,0.047619921,0.047619921,0.128249503,0.071429946,0.041172339,0.041172339,0.041172339,0.057143926,0.421998728,0.047619921,0.057143926,0.047619921,0.041172339,0.047619921,0.071429946,0.659999252,0.093360272,0.071429946,0.047619921,0.041172339,0.071429946,0.041172339,0.071429946,0.036761943,0.047619921,0.041172339,0.036761943,0.041172339,0.033723621,0.047619921,0.041172339,0.041172339,0.128249503,0.057143926,0.057143926,0.057143926,0.057143926,0.071429946,0.041172339,0.036761943,0.036761943,0.041172339,0.036761943,0.057143926,0.047619921,0.047619921,0.071429946,0.659999252,0.047619921,0.057143926,0.036761943,0.057143926,0.128249503,0.047619921,0.057143926,0.041172339,0.071429946,0.041172339,0.041172339,0.047619921,0.071429946,0.071429946,0.036761943,0.057143926,0.226732089,0.071429946,0.071429946,0.071429946,0.036761943,0.041172339,0.047619921,0.041172339,0.036761943,0.047619921,0.047619921,0.057143926,0.033723621,0.057143926,0.071429946,0.047619921,0.036761943,0.036761943,0.057143926,0.041172339,0.071429946,0.041172339,0.128249503,0.041172339,0.041172339,0.036761943,0.057143926,0.071429946,0.036761943,0.041172339,0.041172339,0.041172339,0.093360272,0.041172339,0.071429946,0.093360272,0.057143926,0.047619921,0.036761943,0.047619921,0.047619921,0.047619921,0.187036889,0.041172339,0.057143926,0.041172339,0.057143926,0.226732089,0.047619921,0.226732089,0.047619921,0.319248128,0.047619921,0.036761943,0.057143926,0.057143926,0.057143926,0.041172339,0.041172339,0.057143926,0.041172339,0.041172339,0.047619921,0.041172339,0.041172339,0.047619921,0.031620295,0.041172339,0.047619921,0.047619921,0.093360272,0.093360272,0.047619921,0.041172339,0.057143926,0.036761943,0.047619921,0.041172339,0.047619921,0.071429946,0.041172339,0.033723621,0.031620295,0.036761943,0.226732089,0.071429946,0.047619921,0.071429946,0.031620295,0.093360272,0.071429946,0.041172339,0.030159319,0.041172339,0.047619921,0.071429946,0.047619921,0.071429946,0.057143926,0.041172339,0.226732089
0.041172339,0.573196756,0.057143926,1,0.304051121,0.304051121,0.071429946,0.475531084,0.421998728,0.549999175,0.047619921,0.093360272,0.047619921,0.047619921,0.047619921,0.128249503,0.319248128,0.475531084,0.304051121,0.304051121,0.421998728,0.057143926,0.351665478,0.659999252,0.351665478,0.475531084,0.549999175,0.071429946,0.057143926,0.093360272,0.071429946,0.351665478,0.041172339,0.071429946,0.304051121,0.319248128,0.424592019,0.549999175,0.475531084,0.271481054,0.041172339,0.24904353,0.047619921,0.041172339,0.304051121,0.128249503,0.057143926,0.057143926,0.057143926,0.057143926,0.071429946,0.475531084,0.036761943,0.036761943,0.304051121,0.036761943,0.057143926,0.351665478,0.047619921,0.527498701,0.057143926,0.047619921,0.057143926,0.271481054,0.057143926,0.573196756,0.047619921,0.057143926,0.041172339,0.071429946,0.041172339,0.475531084,0.351665478,0.071429946,0.071429946,0.271481054,0.057143926,0.093360272,0.071429946,0.071429946,0.071429946,0.271481054,0.304051121,0.351665478,0.304051121,0.036761943,0.21283189,0.549999175,0.057143926,0.24904353,0.421998728,0.071429946,0.351665478,0.271481054,0.271481054,0.421998728,0.304051121,0.071429946,0.304051121,0.128249503,0.184015148,0.304051121,0.271481054,0.057143926,0.319248128,0.271481054,0.184015148,0.184015148,0.099989966,0.093360272,0.475531084,0.071429946,0.093360272,0.659999252,0.351665478,0.271481054,0.351665478,0.047619921,0.047619921,0.187036889,0.304051121,0.057143926,0.304051121,0.138778105,0.093360272,0.047619921,0.093360272,0.21283189,0.071429946,0.351665478,0.271481054,0.659999252,0.421998728,0.255398362,0.475531084,0.304051121,0.659999252,0.304051121,0.475531084,0.351665478,0.041172339,0.304051121,0.115648379,0.233510809,0.041172339,0.047619921,0.047619921,0.093360272,0.093360272,0.351665478,0.304051121,0.057143926,0.271481054,0.047619921,0.304051121,0.115648379,0.071429946,0.041172339,0.24904353,0.233510809,0.271481054,0.093360272,0.071429946,0.047619921,0.071429946,0.233510809,0.093360272,0.071429946,0.304051121,0.222721734,0.304051121,0.047619921,0.071429946,0.047619921,0.071429946,0.255398362,0.475531084,0.093360272
0.026217688,0.479833079,0.041172339,0.304051121,1,0.193613418,0.054521373,0.193613418,0.304051121,0.23822486,0.032258637,0.07496322,0.032258637,0.032258637,0.032258637,0.107359913,0.243677156,0.193613418,0.193613418,0.193613418,0.304051121,0.041172339,0.23822486,0.304051121,0.23822486,0.193613418,0.23822486,0.054521373,0.041172339,0.07496322,0.054521373,0.23822486,0.026217688,0.054521373,0.193613418,0.243677156,0.163074998,0.23822486,0.193613418,0.163074998,0.026217688,0.142026452,0.032258637,0.026217688,0.193613418,0.107359913,0.041172339,0.041172339,0.041172339,0.041172339,0.054521373,0.193613418,0.022082402,0.022082402,0.193613418,0.022082402,0.041172339,0.23822486,0.032258637,0.629709368,0.041172339,0.032258637,0.041172339,0.255046685,0.041172339,0.479833079,0.032258637,0.041172339,0.026217688,0.054521373,0.026217688,0.193613418,0.23822486,0.054521373,0.054521373,0.163074998,0.041172339,0.07496322,0.054521373,0.054521373,0.054521373,0.163074998,0.193613418,0.23822486,0.193613418,0.022082402,0.144176356,0.23822486,0.041172339,0.142026452,0.304051121,0.054521373,0.23822486,0.163074998,0.163074998,0.304051121,0.193613418,0.054521373,0.193613418,0.107359913,0.117177012,0.193613418,0.163074998,0.041172339,0.243677156,0.163074998,0.117177012,0.117177012,0.063671527,0.07496322,0.193613418,0.054521373,0.07496322,0.304051121,0.23822486,0.57413213,0.564515588,0.032258637,0.032258637,0.161604275,0.302808285,0.041172339,0.193613418,0.099989966,0.07496322,0.032258637,0.07496322,0.144176356,0.054521373,0.23822486,0.163074998,0.304051121,0.304051121,0.184015148,0.193613418,0.193613418,0.304051121,0.193613418,0.193613418,0.23822486,0.026217688,0.193613418,0.078342404,0.12745019,0.026217688,0.032258637,0.032258637,0.07496322,0.07496322,0.23822486,0.193613418,0.041172339,0.163074998,0.032258637,0.193613418,0.078342404,0.054521373,0.026217688,0.142026452,0.12745019,0.163074998,0.07496322,0.054521373,0.032258637,0.054521373,0.12745019,0.07496322,0.054521373,0.193613418,0.117323027,0.193613418,0.032258637,0.054521373,0.032258637,0.054521373,0.184015148,0.193613418,0.07496322
0.026217688,0.479833079,0.041172339,0.304051121,0.193613418,1,0.054521373,0.193613418,0.720502458,0.23822486,0.032258637,0.07496322,0.032258637,0.032258637,0.032258637,0.107359913,0.243677156,0.193613418,0.193613418,0.193613418,0.304051121,0.041172339,0.23822486,0.304051121,0.23822486,0.193613418,0.23822486,0.054521373,0.041172339,0.07496322,0.054521373,0.23822486,0.026217688,0.054521373,0.193613418,0.243677156,0.163074998,0.23822486,0.193613418,0.163074998,0.026217688,0.142026452,0.032258637,0.026217688,0.193613418,0.107359913,0.041172339,0.041172339,0.041172339,0.041172339,0.054521373,0.193613418,0.022082402,0.022082402,0.193613418,0.022082402,0.041172339,0.23822486,0.032258637,0.402631596,0.041172339,0.032258637,0.041172339,0.163074998,0.041172339,0.479833079,0.032258637,0.041172339,0.026217688,0.054521373,0.026217688,0.193613418,0.23822486,0.054521373,0.054521373,0.163074998,0.041172339,0.07496322,0.054521373,0.054521373,0.054521373,0.163074998,0.193613418,0.23822486,0.193613418,0.022082402,0.144176356,0.23822486,0.041172339,0.142026452,0.304051121,0.054521373,0.23822486,0.842271159,0.163074998,0.304051121,0.193613418,0.054521373,0.193613418,0.107359913,0.117177012,0.193613418,0.163074998,0.041172339,0.243677156,0.163074998,0.117177012,0.117177012,0.063671527,0.07496322,0.193613418,0.054521373,0.07496322,0.304051121,0.23822486,0.163074998,0.23822486,0.032258637,0.032258637,0.161604275,0.193613418,0.041172339,0.193613418,0.099989966,0.07496322,0.032258637,0.07496322,0.144176356,0.054521373,0.23822486,0.163074998,0.304051121,0.304051121,0.184015148,0.193613418,0.193613418,0.304051121,0.302808285,0.193613418,0.23822486,0.026217688,0.681647619,0.078342404,0.12745019,0.026217688,0.032258637,0.032258637,0.07496322,0.07496322,0.23822486,0.193613418,0.041172339,0.163074998,0.032258637,0.193613418,0.078342404,0.054521373,0.026217688,0.142026452,0.12745019,0.842271159,0.07496322,0.054521373,0.032258637,0.054521373,0.12745019,0.07496322,0.054521373,0.193613418,0.117323027,0.193613418,0.032258637,0.054521373,0.032258637,0.054521373,0.184015148,0.193613418,0.07496322
0.054521373,0.14710564,0.071429946,0.071429946,0.054521373,0.054521373,1,0.054521373,0.071429946,0.061343273,0.14897652,0.109892388,0.14897652,0.14897652,0.14897652,0.14710564,0.086581804,0.054521373,0.054521373,0.054521373,0.071429946,0.071429946,0.061343273,0.071429946,0.061343273,0.054521373,0.061343273,0.086581804,0.071429946,0.109892388,0.086581804,0.061343273,0.132409048,0.210270095,0.054521373,0.086581804,0.049857993,0.061343273,0.054521373,0.049857993,0.132409048,0.046646837,0.14897652,0.132409048,0.054521373,0.357256553,0.173472727,0.173472727,0.173472727,0.071429946,0.210270095,0.054521373,0.121083697,0.121083697,0.054521373,0.121083697,0.173472727,0.061343273,0.14897652,0.086581804,0.071429946,0.274166874,0.173472727,0.049857993,0.173472727,0.14710564,0.061343273,0.173472727,0.132409048,0.210270095,0.132409048,0.054521373,0.061343273,0.086581804,0.086581804,0.049857993,0.173472727,0.109892388,0.086581804,0.086581804,0.086581804,0.049857993,0.054521373,0.061343273,0.054521373,0.121083697,0.061343273,0.061343273,0.173472727,0.046646837,0.071429946,0.210270095,0.061343273,0.049857993,0.049857993,0.071429946,0.054521373,0.086581804,0.054521373,0.14710564,0.054521373,0.054521373,0.049857993,0.173472727,0.086581804,0.049857993,0.054521373,0.054521373,0.054521373,0.266881514,0.054521373,0.086581804,0.266881514,0.071429946,0.061343273,0.049857993,0.061343273,0.14897652,0.14897652,0.210167445,0.054521373,0.071429946,0.054521373,0.071429946,0.109892388,0.14897652,0.109892388,0.061343273,0.086581804,0.061343273,0.049857993,0.071429946,0.071429946,0.071429946,0.054521373,0.054521373,0.071429946,0.054521373,0.054521373,0.061343273,0.132409048,0.054521373,0.061343273,0.044424556,0.054521373,0.14897652,0.061343273,0.109892388,0.266881514,0.061343273,0.054521373,0.071429946,0.049857993,0.061343273,0.054521373,0.061343273,0.086581804,0.132409048,0.046646837,0.044424556,0.049857993,0.109892388,0.086581804,0.14897652,0.210270095,0.044424556,0.109892388,0.210270095,0.054521373,0.042881285,0.054521373,0.14897652,0.210270095,0.14897652,0.210270095,0.071429946,0.054521373,0.109892388
0.026217688,0.479833079,0.041172339,0.475531084,0.193613418,0.193613418,0.054521373,1,0.304051121,0.372579866,0.032258637,0.07496322,0.032258637,0.032258637,0.032258637,0.107359913,0.243677156,0.302808285,0.193613418,0.193613418,0.304051121,0.041172339,0.23822486,0.720502458,0.23822486,0.302808285,0.372579866,0.054521373,0.041172339,0.07496322,0.054521373,0.23822486,0.026217688,0.054521373,0.193613418,0.243677156,0.255046685,0.372579866,0.681647619,0.163074998,0.026217688,0.142026452,0.032258637,0.026217688,0.193613418,0.107359913,0.041172339,0.041172339,0.041172339,0.041172339,0.054521373,0.681647619,0.022082402,0.022082402,0.193613418,0.022082402,0.041172339,0.23822486,0.032258637,0.402631596,0.041172339,0.032258637,0.041172339,0.163074998,0.041172339,0.479833079,0.032258637,0.041172339,0.026217688,0.054521373,0.026217688,0.302808285,0.23822486,0.054521373,0.054521373,0.163074998,0.041172339,0.07496322,0.054521373,0.054521373,0.054521373,0.163074998,0.193613418,0.23822486,0.193613418,0.022082402,0.144176356,0.372579866,0.041172339,0.142026452,0.304051121,0.054521373,0.23822486,0.163074998,0.163074998,0.304051121,0.193613418,0.054521373,0.193613418,0.107359913,0.117177012,0.193613418,0.163074998,0.041172339,0.243677156,0.163074998,0.117177012,0.117177012,0.063671527,0.07496322,0.302808285,0.054521373,0.07496322,0.475531084,0.23822486,0.163074998,0.23822486,0.032258637,0.032258637,0.161604275,0.193613418,0.041172339,0.193613418,0.099989966,0.07496322,0.032258637,0.07496322,0.144176356,0.054521373,0.23822486,0.163074998,0.720502458,0.304051121,0.184015148,1,0.193613418,0.475531084,0.193613418,0.681647619,0.23822486,0.026217688,0.193613418,0.078342404,0.12745019,0.026217688,0.032258637,0.032258637,0.07496322,0.07496322,0.23822486,0.193613418,0.041172339,0.163074998,0.032258637,0.193613418,0.078342404,0.054521373,0.026217688,0.142026452,0.12745019,0.163074998,0.07496322,0.054521373,0.032258637,0.054521373,0.12745019,0.07496322,0.054521373,0.193613418,0.117323027,0.193613418,0.032258637,0.054521373,0.032258637,0.054521373,0.184015148,0.302808285,0.07496322
0.041172339,0.573196756,0.057143926,0.421998728,0.304051121,0.720502458,0.071429946,0.304051121,1,0.351665478,0.047619921,0.093360272,0.047619921,0.047619921,0.047619921,0.128249503,0.319248128,0.304051121,0.304051121,0.304051121,0.421998728,0.057143926,0.351665478,0.421998728,0.351665478,0.304051121,0.351665478,0.071429946,0.057143926,0.093360272,0.071429946,0.351665478,0.041172339,0.071429946,0.304051121,0.319248128,0.271481054,0.351665478,0.304051121,0.271481054,0.041172339,0.24904353,0.047619921,0.041172339,0.304051121,0.128249503,0.057143926,0.057143926,0.057143926,0.057143926,0.071429946,0.304051121,0.036761943,0.036761943,0.304051121,0.036761943,0.057143926,0.351665478,0.047619921,0.527498701,0.057143926,0.047619921,0.057143926,0.271481054,0.057143926,0.573196756,0.047619921,0.057143926,0.041172339,0.071429946,0.041172339,0.304051121,0.351665478,0.071429946,0.071429946,0.271481054,0.057143926,0.093360272,0.071429946,0.071429946,0.071429946,0.271481054,0.304051121,0.351665478,0.304051121,0.036761943,0.21283189,0.351665478,0.057143926,0.24904353,0.421998728,0.071429946,0.351665478,0.643321971,0.271481054,0.421998728,0.304051121,0.071429946,0.304051121,0.128249503,0.184015148,0.304051121,0.271481054,0.057143926,0.319248128,0.271481054,0.184015148,0.184015148,0.099989966,0.093360272,0.304051121,0.071429946,0.093360272,0.421998728,0.351665478,0.271481054,0.351665478,0.047619921,0.047619921,0.187036889,0.304051121,0.057143926,0.304051121,0.138778105,0.093360272,0.047619921,0.093360272,0.21283189,0.071429946,0.351665478,0.271481054,0.421998728,0.421998728,0.255398362,0.304051121,0.304051121,0.421998728,0.475531084,0.304051121,0.351665478,0.041172339,0.720502458,0.115648379,0.233510809,0.041172339,0.047619921,0.047619921,0.093360272,0.093360272,0.351665478,0.304051121,0.057143926,0.271481054,0.047619921,0.304051121,0.115648379,0.071429946,0.041172339,0.24904353,0.233510809,0.643321971,0.093360272,0.071429946,0.047619921,0.071429946,0.233510809,0.093360272,0.071429946,0.304051121,0.222721734,0.304051121,0.047619921,0.071429946,0.047619921,0.071429946,0.255398362,0.304051121,0.093360272
0.032258637,0.517415251,0.047619921,0.549999175,0.23822486,0.23822486,0.061343273,0.372579866,0.351665478,1,0.03846223,0.082379097,0.03846223,0.03846223,0.03846223,0.115768709,0.274166874,0.372579866,0.23822486,0.23822486,0.351665478,0.047619921,0.284037401,0.549999175,0.284037401,0.372579866,0.444229946,0.061343273,0.047619921,0.082379097,0.061343273,0.284037401,0.032258637,0.061343273,0.23822486,0.274166874,0.32354693,0.444229946,0.372579866,0.206873557,0.032258637,0.18526914,0.03846223,0.032258637,0.23822486,0.115768709,0.047619921,0.047619921,0.047619921,0.047619921,0.061343273,0.372579866,0.028013277,0.028013277,0.23822486,0.028013277,0.047619921,0.284037401,0.03846223,0.453010236,0.047619921,0.03846223,0.047619921,0.206873557,0.047619921,0.517415251,0.03846223,0.047619921,0.032258637,0.061343273,0.032258637,0.372579866,0.284037401,0.061343273,0.061343273,0.206873557,0.047619921,0.082379097,0.061343273,0.061343273,0.061343273,0.206873557,0.23822486,0.284037401,0.23822486,0.028013277,0.17190262,0.444229946,0.047619921,0.18526914,0.351665478,0.061343273,0.284037401,0.206873557,0.206873557,0.351665478,0.23822486,0.061343273,0.23822486,0.115768709,0.144176356,0.23822486,0.206873557,0.047619921,0.274166874,0.206873557,0.144176356,0.144176356,0.078342404,0.082379097,0.372579866,0.061343273,0.082379097,0.549999175,0.284037401,0.206873557,0.284037401,0.03846223,0.03846223,0.17181763,0.23822486,0.047619921,0.23822486,0.115648379,0.082379097,0.03846223,0.082379097,0.17190262,0.061343273,0.284037401,0.206873557,0.549999175,0.351665478,0.21283189,0.372579866,0.23822486,0.549999175,0.23822486,0.372579866,0.284037401,0.032258637,0.23822486,0.093408273,0.170310041,0.032258637,0.03846223,0.03846223,0.082379097,0.082379097,0.284037401,0.23822486,0.047619921,0.206873557,0.03846223,0.23822486,0.093408273,0.061343273,0.032258637,0.18526914,0.170310041,0.206873557,0.082379097,0.061343273,0.03846223,0.061343273,0.170310041,0.082379097,0.061343273,0.23822486,0.15991791,0.23822486,0.03846223,0.061343273,0.03846223,0.061343273,0.21283189,0.372579866,0.082379097
